id,original_address_1,original_address_2,standardized_address_1,standardized_address_2,match_level,confidence_score,analysis,method_used,timestamp,status
76,"Industriestrasse 54    ,Glattbrugg,8152,CHE","_x000D_
Blarenberglaan 2_x000D_
 _x000D_,Blarenberglaan 2,MECHELEN,2800,BEL","Industriestrasse 54, Glattbrugg, 8152, CHE","Blarenberglaan 2, Mechelen, 2800, BEL",NO_MATCH,0,"Different street names, cities, and countries. These addresses are completely different locations.",azure_openai_batch_with_standardization,2025-08-21T20:40:05.282704,success
77,"3 Place des Bergues,Genève,1201,CHE","_x000D_
 _x000D_
Admiraliteitskade 62_x000D_,Rotterdam,3063 ED,NLD","3 Place des Bergues, Genève, 1201, CHE","Admiraliteitskade 62, Rotterdam, 3063 ED, NLD",NO_MATCH,0,"Different street names, cities, and countries. These addresses are completely different locations.",azure_openai_batch_with_standardization,2025-08-21T20:40:05.282704,success
78,"Hardstrasse 201 Prime Tower,Zürich,8005,CHE","Hardstrasse 201,8005,CHE","Hardstrasse 201, Zürich, 8005, CHE","Hardstrasse 201, Zürich, 8005, CHE",EXACT,95,"Same street number, street name, city, and postal code. The addition of 'Prime Tower' is a minor variation.",azure_openai_batch_with_standardization,2025-08-21T20:40:05.282704,success
79,"Route de Cressier 17 Terre Bonne Park - A4,Eysins,1262,CHE","Rowastrasse 1 - 3
53539 Kelberg
%1,Kelberg,53539,DEU","Route de Cressier 17, Eysins, 1262, CHE","Rowastrasse 1-3, Kelberg, 53539, DEU",NO_MATCH,0,"Different street names, cities, and countries. These addresses are completely different locations.",azure_openai_batch_with_standardization,2025-08-21T20:40:05.282704,success
80,"Tessinerplatz 5,Zürich,8027,CHE","Hardstrasse 201,8005,CHE","Tessinerplatz 5, Zürich, 8027, CHE","Hardstrasse 201, Zürich, 8005, CHE",LOW,30,"Different street names and postal codes, but same city. These addresses are different but nearby locations.",azure_openai_batch_with_standardization,2025-08-21T20:40:05.282704,success
81,"Zurich, Grubenstr. 40    ,Zurich,CHE","Grubenstrasse 40,8045,CHE","Grubenstrasse 40, Zurich, 8045, CHE","Grubenstrasse 40, Zurich, 8045, CHE",EXACT,95,Both addresses match exactly after standardization. Minor formatting differences in street name (Grubenstr. vs Grubenstrasse) and missing postal code in the first address.,azure_openai_batch_with_standardization,2025-08-21T20:40:21.321159,success
82,"Zürich, Uraniastrasse 9    ,Zurich,8001,CHE","Uraniastr. 9,8001,CHE","Uraniastrasse 9, Zurich, 8001, CHE","Uraniastrasse 9, Zurich, 8001, CHE",EXACT,95,Both addresses match exactly after standardization. Minor formatting differences in street name (Uraniastrasse vs Uraniastr.) and missing city in the second address.,azure_openai_batch_with_standardization,2025-08-21T20:40:21.321159,success
83,"Zürich, Prime Tower, Hardstrasse 201    ,Zurich,8005,CHE","Hardstrasse 201,8005,CHE","Hardstrasse 201, Zurich, 8005, CHE","Hardstrasse 201, Zurich, 8005, CHE",HIGH,90,Both addresses match after standardization. The first address includes a building name (Prime Tower) which is not present in the second address.,azure_openai_batch_with_standardization,2025-08-21T20:40:21.321159,success
84,"Klybeckstrasse,Basel,4057,CHE","Klybeckstr. 141, P 15, WKL-1358
4057 Basel
%1,Basel,4057,CHE","Klybeckstrasse, Basel, 4057, CHE","Klybeckstrasse 141, Basel, 4057, CHE",MEDIUM,50,"The addresses have different street numbers (no number in the first address vs 141 in the second address). They are in the same city and postal code, indicating they are nearby but not the same location.",azure_openai_batch_with_standardization,2025-08-21T20:40:21.321159,success
85,"Schaffhauserstr. 101,Stein AG,4332,CHE","Schaffhauserstrasse 101
4332 Stein
%1,Stein,4332,CHE","Schaffhauserstrasse 101, Stein, 4332, CHE","Schaffhauserstrasse 101, Stein, 4332, CHE",EXACT,95,Both addresses match exactly after standardization. Minor formatting differences in street name (Schaffhauserstr. vs Schaffhauserstrasse) and additional formatting in the second address.,azure_openai_batch_with_standardization,2025-08-21T20:40:21.321159,success
86,"Schaffhauserstr. 101,Stein AG,4332,CHE","Schaffhauserstrasse_x000D_
 _x000D_
 _x000D_,Stein,4332,CHE","Schaffhauserstrasse 101, Stein, 4332, CHE","Schaffhauserstrasse, Stein, 4332, CHE",HIGH,85,"The street names are essentially the same with minor formatting differences. The city and postal code match exactly. The street number is missing in the second address, which slightly reduces the score.",azure_openai_batch_with_standardization,2025-08-21T20:40:38.819604,success
87,"Eichenweg 1,Liestal,4410,CHE","_x000D_
 _x000D_
Haaksbergweg 16_x000D_,AMSTERDAM,1101 BX,NLD","Eichenweg 1, Liestal, 4410, CHE","Haaksbergweg 16, Amsterdam, 1101 BX, NLD",NO_MATCH,0,"The addresses are in completely different countries, cities, and streets. There is no similarity between the two addresses.",azure_openai_batch_with_standardization,2025-08-21T20:40:38.820612,success
88,"Europa-Alle 1    ,Zürich,8004,CHE","One Cabot Square
LONDON
E14 4QJ
United Kingdom,LONDON,E14 4QJ,GBR","Europaallee 1, Zürich, 8004, CHE","One Cabot Square, London, E14 4QJ, GBR",NO_MATCH,0,"The addresses are in different countries, cities, and streets. There is no similarity between the two addresses.",azure_openai_batch_with_standardization,2025-08-21T20:40:38.820612,success
89,"Europaallee 1, 8070 Zurich    ,ZURICH,CHE","Canadastraat 20
B-2070 Zwijndrecht
%1,Zwijndrecht,B-2070,BEL","Europaallee 1, Zurich, 8070, CHE","Canadastraat 20, Zwijndrecht, B-2070, BEL",NO_MATCH,0,"The addresses are in different countries, cities, and streets. There is no similarity between the two addresses.",azure_openai_batch_with_standardization,2025-08-21T20:40:38.820612,success
90,"Morgenstrasse 129    ,Bern,3018,CHE","_x000D_
Blarenberglaan 2_x000D_
 _x000D_,Blarenberglaan 2,MECHELEN,2800,BEL","Morgenstrasse 129, Bern, 3018, CHE","Blarenberglaan 2, Mechelen, 2800, BEL",NO_MATCH,0,"The addresses are in different countries, cities, and streets. There is no similarity between the two addresses.",azure_openai_batch_with_standardization,2025-08-21T20:40:38.820612,success
91,"Route de Champ Colin 2    ,Nyon,1260,CHE","Route de la Maison-Carrée 31,CHE","Route de Champ Colin 2, Nyon, 1260, CHE","Route de la Maison-Carrée 31, CHE",NO_MATCH,10,"Different street names and numbers, no city or postal code for address 2.",azure_openai_batch_with_standardization,2025-08-21T20:40:54.031047,success
92,"Route de l Aeroport 31    ,Geneva,1215,CHE","Route de Saint Julien 7/9,1227,CHE","Route de l'Aeroport 31, Geneva, 1215, CHE","Route de Saint Julien 7/9, 1227, CHE",NO_MATCH,20,"Different street names and numbers, different postal codes, no city for address 2.",azure_openai_batch_with_standardization,2025-08-21T20:40:54.031047,success
93,"12 ave des Morgines    ,Petit-Lancy,1213,CHE","_x000D_
Blarenberglaan 2_x000D_
 _x000D_,Blarenberglaan 2,MECHELEN,2800,BEL","12 Avenue des Morgines, Petit-Lancy, 1213, CHE","Blarenberglaan 2, Mechelen, 2800, BEL",NO_MATCH,0,"Different street names, numbers, cities, and countries.",azure_openai_batch_with_standardization,2025-08-21T20:40:54.031047,success
94,"Hofwisenstrasse 56    ,Zurich,8153,CHE","Steinackerstrasse 56,CHE","Hofwisenstrasse 56, Zurich, 8153, CHE","Steinackerstrasse 56, CHE",NO_MATCH,15,"Different street names, no city or postal code for address 2.",azure_openai_batch_with_standardization,2025-08-21T20:40:54.031047,success
95,"Industriestrasse 54    ,Glattbrugg,8152,CHE","_x000D_
Blarenberglaan 2_x000D_
 _x000D_,Blarenberglaan 2,MECHELEN,2800,BEL","Industriestrasse 54, Glattbrugg, 8152, CHE","Blarenberglaan 2, Mechelen, 2800, BEL",NO_MATCH,0,"Different street names, numbers, cities, and countries.",azure_openai_batch_with_standardization,2025-08-21T20:40:54.031047,success
96,"Gubelstrasse 24 Park Tower  ,Zug,6300,CHE","Baarerstrasse 96 Zug
%1,GBR","Gubelstrasse 24, Park Tower, Zug, 6300, CHE","Baarerstrasse 96, Zug, GBR",LOW,30,"Different street names and numbers, same city. Addresses are different but nearby.",azure_openai_batch_with_standardization,2025-08-21T20:41:10.376143,success
97,"12 ave des Morgines    ,Petit-Lancy,1213,CHE","_x000D_
Blarenberglaan 2_x000D_
 _x000D_,Blarenberglaan 2,MECHELEN,2800,BEL","12 Avenue des Morgines, Petit-Lancy, 1213, CHE","Blarenberglaan 2, Mechelen, 2800, BEL",NO_MATCH,0,"Different street names, numbers, cities, and countries. Addresses are completely different.",azure_openai_batch_with_standardization,2025-08-21T20:41:10.376143,success
98,"Route de l Aeroport 31    ,Geneva,1215,CHE","Route de Saint Julien 7/9,1227,CHE","Route de l'Aeroport 31, Geneva, 1215, CHE","Route de Saint Julien 7/9, 1227, CHE",LOW,20,"Different street names and numbers, different postal codes. Addresses are different but in the same general area.",azure_openai_batch_with_standardization,2025-08-21T20:41:10.378184,success
99,"Chemin du Pavillon 2    ,Le Grand-Saconnex,1218,CHE","Soseaua Bucuresti-Ploiesti (DN1) nr. 1A, Building A, 2nd Floor,13681,ROU","Chemin du Pavillon 2, Le Grand-Saconnex, 1218, CHE","Soseaua Bucuresti-Ploiesti (DN1) nr. 1A, Building A, 2nd Floor, 13681, ROU",NO_MATCH,0,"Different street names, numbers, cities, and countries. Addresses are completely different.",azure_openai_batch_with_standardization,2025-08-21T20:41:10.378184,success
100,"Forrlibuckstrasse 150    ,Zurich,8005,CHE","11351,RUH","Forrlibuckstrasse 150, Zurich, 8005, CHE","11351, RUH",NO_MATCH,0,"Different street names, numbers, cities, and countries. Addresses are completely different.",azure_openai_batch_with_standardization,2025-08-21T20:41:10.378184,success
